src|alt
blinkie-strange-sprite.gif| A pale blue blinkie with a dark blue border of red and yellow dots. There is an image of Doctor Strange on the side and the text reads in capital letters, "Doctor Strange"
wifehubby.gif| A black blinkie with a border of white dashes. The text reads, "I love my wife + husband", with the word "love" replaced by a beating red heart
tummy-ache-survivor.gif| A black blinkie with a multi-colored border of black and white dots. The text reads, "tummy ache survivor"
pinkiepie.gif| A pastel pink blinkie with a pink border of blue and yellow dots. There is an image of Pinkie Pie from My Little Pony: Friendship is Magic and text that reads, "okey dokey lokey artichokey!"
caffeine.gif| A brown blinkie with a border of white and taupe dots, and text that reads in capital letters, "Caffeine!!!"
bootleg-girl.gif| A blinkie with the demigirl flag in the background. There are grey, white, and pink dots that border the blinkie. The text reads in all capital letters, "Bootleg girl"
all-ace-no-grace.gif| A blinkie with the asexual flag in the background. There are black, grey, white, and purple dots that border the blinkie. The text reads in all capital letters, "All ace, no grace"
2spoopy4me.gif| A purple blinkie with a haunted house with glowing windows and moon above it and a black cat surrounded by stars. The text reads "2spoopy4me"
