title|scroll|fullSize|filename|altText|originalDate|originalCaption|caption|transcript
Rascally Rabbits|||201806dabroodals.jpg|The Broodals from Super Mario Odyssey. On the front are Hariet readying a bomb and Topper tipping his hat. In the back are Spewart menacingly chewing on a carrot and Rango standing tall and crossing his arms|June 2018|Super Mario Odyssey is such a good game aaaaaaa. People can call them Koopaling rip-offs if they'd like, but I sure love these brutal bunnies. <3\n\n(Bonus points to whomever can tell which one is my favorite, lmao)||
Cops and Robbers|||201805copsandrobbers.jpg|Giovanni as he appears in the Pokemon anime with Nanu. Nanu is tugging slightly on Giovanni's tie while slyly smiling at him, saying "Why so serious, GioGio?"|May 2018|||I secretly shipped these two for a while, so you can imagine how much I screamed after seeing an episode of them in a phone call together!!
The Doctor Will See You Now|||201804unlicensed.jpg|A gijinka of Raddle from Animal Crossing in an eerie atmosphere with him preparing a syringe.|April 2018|||Raddle is my absolute favorite Animal Crossing character!! I fell in love with him after seeing the new Amiibo RV cards that released for New Leaf.
"...Boss?"|||201803whatareyoudoing.jpg|Giovanni from the Pokemon game franchis posing strangely on a chair. The text surrounding him reads, "You aren't doing it wrong if no one knows what you are doing"|March 2018|||This was drawn when Sam showed me this [hilarious meme](https://i.pinimg.com/originals/f0/db/0c/f0db0c994cf687bd26ff4843d0cccbbd.jpg) which immediately inspired me! It was great practice!
Friendly Spar|TRUE||201803rosavsblackhat.jpg|Rosalivia (OC) and Black Hat (Villainous) in a sword fight.|March 2018|An anonymous user on Tumblr asked me what would happen if Rosalivia met Black Hat from Villainous! Naturally, I had to try drawing something out. I imagine that they'd either have a friendly spar or have a [nice cup of tea together](https://78.media.tumblr.com/5c086e6b23e233c74b07cb179cf7e419/tumblr_inline_p5igukwBbv1qze3co_500.png). Or maybe both!\n\nEither way, this was super fun to draw, and it was a good chance for me to practice dynamic lighting! First time drawing a sword fight too!||
A Grunt and Engineer|TRUE||201801jennifer.jpg|Jennifer, a Pokemon OC who is also a Rocket Grunt|January 2018|I rarely, RARELY make fan OC's, but I was compelled to make one a few days ago! There isn't much to her yet except that she loves to cook! She also prefers to be called by her full name and not "Jenny" after an unfortunate mishap that almost got her caught by Officer Jenny.\n\n(I imagine she sounds exactly like [Chi-chi](https://twitter.com/ChichiAi)! :3c)||
Timeout|||201710embarrassedhandholding.jpg|Hershey and Claremont sitting on two blue chairs as if they're in timeout. The two are holding hands while hiding their faces in embarrassment.|October 2017|A little thing that I wanted to draw a while ago. Totally not boyfriends or anything. Just a couple of dudes being guys! Claremont (right) belongs to my Sam!||
Typhoon|TRUE||201710notvashwood.jpg|Rosalivia and Etahis (OCs) dressed as Vash the Stampede and Nicholas D. Wolfwood from "TRIGUN".|October 2017||Drawn after Sam got me into Trigun! God, I love Trigun so much, I still weep thinking about it. I should read it again! |Text near Etahis: "Could care less about religion. Don't be fooled. He's actually using telekinesis to carry that thing"\n\nText near Rosa: "A literal typhoon. God, just run away."
Still Quite a Looker|||201709handsome.jpg|Grimsley as he appears in Pokemon Sun and Moon in several dramatic poses based on a screenshot from My Hero Academia|September 2017|A silly thing I did not too long ago! A screenshot redraw thing I finished not too long ago! I'm not sure what compelled me to draw Grimsley like this, but it was fun! My 12-year-old self would be so happy with me knowing that I figured out how to draw sparkly shoujo backgrounds lmao\n\n[Original screenshot](http://68.media.tumblr.com/5fa541ccdd26cd27a42e00eddbe7b407/tumblr_inline_ox4aabHpBd1qze3co_500.png). ||
Search in the Snow|TRUE||201707snowysearch.jpg|Grunkle Stan from Gravity Falls on the top of a tall pine tree. He is searching for a a mythical bird as evidenced in an entry of the journal. Meanwhile, the very same bird is perched on his head with Stan none the wiser.|July 2017||This was a piece done for a [Gravity Falls zine](https://gfwayfaringstrangerszine.tumblr.com/)! This one was a lot of fun to do and the first time I've ever contributed to a zine! |
Calm, but Powerful|||201707lucoa.jpg|Lucoa from Miss Kobayashi's Dragon Maid, stylized to have a heavyset body type in an attempt to match the size of her chest|July 2017|Started watching Miss Kobayashi's Dragon Maid thanks to my friend Atomi, and oh my goodness, I love it so much? All of the characters are great, and I thought I'd start out with Lucoa! I wanted to give her a body type that matches her super warm personality, so I hope she looks ok! I also…have never drawn a chest size that big before, lol||
Spot of Tea|||201705noneofmybusiness.jpg|Grimsley from the Pokemon game series. He appears as he did in Pokemon Sun and Moon with the white in his hair, but he is wearing his suit from Black and White. He is sipping a cup of tea.|May 2017|I thought it'd be nice to draw SM!Grimsley in his original suit from BW, and he still looks great! Of course he looks great. He's Grimsley. He never NOT looks good, even with his unfortunate aging.|This image has been my wallpaper for ages (as of writing this in 2025), and I don't intend on changing it anytime soon! |
The Real Man of the Sea|||201704realmanofthesea.jpg|Linebeck from The Legend of Zelda: Phantom Hourglass. He is crossing his arms while looking at the camera with a smug expression.|April 2017|A lot has been going on these past few weeks. One of them being that I had been playing BotW nearly nonstop! So, I decided to draw one of my favorite LoZ characters who actually got an island named after him omg I'm so proud.||
An Unnecessary Challenge|TRUE||201703pickuptheboyfriend.jpg|Faba and Colress from Pokemon Sun and Moon. Faba is struggling to pick up Colress|March 2017|One of my favorite pieces! I hadn't colored like this in a while, so I was happy to know that I haven't lost my touch, yet!\n\nI've always imagined Colress to be much taller than Faba and I'm glad that these heights are actually canon! That would make for pretty hilarious shenanigans such as Faba trying his best to lift Colress.\n\nIalsoshipthemsshhhhh||
Coloress Science|TRUE||201702dumbesthairinexistence.jpg|Colress as he appears in Pokemon Sun and Moon|February 2017|Despite having played BW2, I was never interested in Colress until I encountered him in the Battle Tree! I dunno, but it brought back good memories hearing his theme song again and I really like his new design! So here's the Internet Explorer nerd!||
He Got the Moves||TRUE|201701hegotthemoves.jpg|Guzma and Plumeria from Pokemon Sun and Moon dancing|January 2017|Is it considered egotistical to be inspired by a [MMD video](https://www.youtube.com/watch?v=2tZGxmkAKOU) you made? Aw heck, I don't care, I had fun drawing this!||
